kota;type;provinsi
Aceh Barat;Kabupaten;Aceh (NAD)
Aceh Barat Daya;Kabupaten;Aceh (NAD)
Sabu Raijua;Kabupaten;Nusa Tenggara Timur (NTT)
Salatiga;Kota;Jawa Tengah
Aceh Besar;Kabupaten;Aceh (NAD)
Aceh Jaya;Kabupaten;Aceh (NAD)
Aceh Selatan;Kabupaten;Aceh (NAD)
Aceh Singkil;Kabupaten;Aceh (NAD)
Aceh Tamiang;Kabupaten;Aceh (NAD)
Aceh Tengah;Kabupaten;Aceh (NAD)
Aceh Tenggara;Kabupaten;Aceh (NAD)
Aceh Timur;Kabupaten;Aceh (NAD)
Gorontalo Utara;Kabupaten;Gorontalo
Aceh Utara;Kabupaten;Aceh (NAD)
Agam;Kabupaten;Sumatera Barat
Alor;Kabupaten;Nusa Tenggara Timur (NTT)
Ambon;Kota;Maluku
Gowa;Kabupaten;Sulawesi Selatan
Samarinda;Kota;Kalimantan Timur
Asahan;Kabupaten;Sumatera Utara
Sambas;Kabupaten;Kalimantan Barat
Asmat;Kabupaten;Papua Selatan
Samosir;Kabupaten;Sumatera Utara
Badung;Kabupaten;Bali
Sampang;Kabupaten;Jawa Timur
Balangan;Kabupaten;Kalimantan Selatan
Sanggau;Kabupaten;Kalimantan Barat
Sarmi;Kabupaten;Papua
Gresik;Kabupaten;Jawa Timur
Grobogan;Kabupaten;Jawa Tengah
Gunung Mas;Kabupaten;Kalimantan Tengah
Gunungkidul;Kabupaten;DI Yogyakarta
Sarolangun;Kabupaten;Jambi
Gunungsitoli;Kota;Sumatera Utara
Sawahlunto;Kota;Sumatera Barat
Halmahera Barat;Kabupaten;Maluku Utara
Sekadau;Kabupaten;Kalimantan Barat
Halmahera Selatan;Kabupaten;Maluku Utara
Seluma;Kabupaten;Bengkulu
Halmahera Tengah;Kabupaten;Maluku Utara
Semarang;Kabupaten;Jawa Tengah
Semarang;Kota;Jawa Tengah
Halmahera Timur;Kabupaten;Maluku Utara
Seram Bagian Barat;Kabupaten;Maluku
Halmahera Utara;Kabupaten;Maluku Utara
Seram Bagian Timur;Kabupaten;Maluku
Hulu Sungai Selatan;Kabupaten;Kalimantan Selatan
Hulu Sungai Tengah;Kabupaten;Kalimantan Selatan
Hulu Sungai Utara;Kabupaten;Kalimantan Selatan
Serang;Kota;Banten
Serang;Kabupaten;Banten
Humbang Hasundutan;Kabupaten;Sumatera Utara
Balikpapan;Kota;Kalimantan Timur
Indragiri Hilir;Kabupaten;Riau
Indragiri Hulu;Kabupaten;Riau
Banda Aceh;Kota;Aceh (NAD)
Bandar Lampung;Kota;Lampung
Bandung;Kota;Jawa Barat
Bandung;Kabupaten;Jawa Barat
Bandung Barat;Kabupaten;Jawa Barat
Banggai;Kabupaten;Sulawesi Tengah
Banggai Kepulauan;Kabupaten;Sulawesi Tengah
Banggai Laut;Kabupaten;Sulawesi Tengah
Bangka;Kabupaten;Kepulauan Bangka Belitung
Bangka Barat;Kabupaten;Kepulauan Bangka Belitung
Bangka Selatan;Kabupaten;Kepulauan Bangka Belitung
Bangka Tengah;Kabupaten;Kepulauan Bangka Belitung
Bangkalan;Kabupaten;Jawa Timur
Bangli;Kabupaten;Bali
Banjar;Kota;Jawa Barat
Banjar;Kabupaten;Kalimantan Selatan
Banjarbaru;Kota;Kalimantan Selatan
Banjarmasin;Kota;Kalimantan Selatan
Banjarnegara;Kabupaten;Jawa Tengah
Bantaeng;Kabupaten;Sulawesi Selatan
Bantul;Kabupaten;DI Yogyakarta
Banyuasin;Kabupaten;Sumatera Selatan
Banyumas;Kabupaten;Jawa Tengah
Banyuwangi;Kabupaten;Jawa Timur
Barito Kuala;Kabupaten;Kalimantan Selatan
Barito Selatan;Kabupaten;Kalimantan Tengah
Barito Timur;Kabupaten;Kalimantan Tengah
Barito Utara;Kabupaten;Kalimantan Tengah
Barru;Kabupaten;Sulawesi Selatan
Batam;Kota;Kepulauan Riau
Batang;Kabupaten;Jawa Tengah
Batanghari;Kabupaten;Jambi
Batu;Kota;Jawa Timur
Batu Bara;Kabupaten;Sumatera Utara
Bau Bau;Kota;Sulawesi Tenggara
Bekasi;Kota;Jawa Barat
Bekasi;Kabupaten;Jawa Barat
Belitung;Kabupaten;Kepulauan Bangka Belitung
Belitung Timur;Kabupaten;Kepulauan Bangka Belitung
Belu;Kabupaten;Nusa Tenggara Timur (NTT)
Bener Meriah;Kabupaten;Aceh (NAD)
Bengkalis;Kabupaten;Riau
Bengkayang;Kabupaten;Kalimantan Barat
Serdang Bedagai;Kabupaten;Sumatera Utara
Bengkulu;Kota;Bengkulu
Bengkulu Selatan;Kabupaten;Bengkulu
Seruyan;Kabupaten;Kalimantan Tengah
Indramayu;Kabupaten;Jawa Barat
Siak;Kabupaten;Riau
Intan Jaya;Kabupaten;Papua Tengah
Jakarta Barat;Kota;DKI Jakarta
Sibolga;Kota;Sumatera Utara
Bengkulu Tengah;Kabupaten;Bengkulu
Jakarta Pusat;Kota;DKI Jakarta
Sidenreng Rappang;Kabupaten;Sulawesi Selatan
Bengkulu Utara;Kabupaten;Bengkulu
Jakarta Selatan;Kota;DKI Jakarta
Sidoarjo;Kabupaten;Jawa Timur
Jakarta Timur;Kota;DKI Jakarta
Sigi;Kabupaten;Sulawesi Tengah
Berau;Kabupaten;Kalimantan Timur
Biak Numfor;Kabupaten;Papua
Bima;Kabupaten;Nusa Tenggara Barat (NTB)
Jakarta Utara;Kota;DKI Jakarta
Bima;Kota;Nusa Tenggara Barat (NTB)
Jambi;Kota;Jambi
Sijunjung;Kabupaten;Sumatera Barat
Binjai;Kota;Sumatera Utara
Jayapura;Kabupaten;Papua
Bintan;Kabupaten;Kepulauan Riau
Sikka;Kabupaten;Nusa Tenggara Timur (NTT)
Bireuen;Kabupaten;Aceh (NAD)
Simalungun;Kabupaten;Sumatera Utara
Bitung;Kota;Sulawesi Utara
Jayapura;Kota;Papua
Simeulue;Kabupaten;Aceh (NAD)
Jayawijaya;Kabupaten;Papua Pegunungan
Jember;Kabupaten;Jawa Timur
Singkawang;Kota;Kalimantan Barat
Blitar;Kabupaten;Jawa Timur
Jembrana;Kabupaten;Bali
