kecamatan;kabupaten
Air Majunto;Muko Muko
Enam Lingkuang;Padang Pariaman
Amanuban Barat;Timor Tengah Selatan
Amfoang Utara;Kupang
Air Naningan;Tanggamus
Air Napal;Bengkulu Utara
Amonggedo;Konawe
Air Nipis;Bengkulu Selatan
Air Padang;Bengkulu Utara
Bonatua Lunasi;Toba
Bangkurung;Banggai Laut
Bamusbama;Tambrauw
Ampana Kota;Tojo Una Una
Ampana Tete;Tojo Una Una
Banama Tingang;Pulang Pisau
Ampek Angkek (IV Angkat Candung);Agam
Banawa;Donggala
Ampek Nagari (IV Nagari );Agam
Air Periukan;Seluma
Bondifuar;Biak Numfor
Belitang Hulu;Sekadau
Argomulyo;Salatiga
Banawa Selatan;Donggala
Bondoala;Konawe
Air Putih;Batu Bara
Arguni;Fak Fak
Bangli;Bangli
Bondowoso;Bondowoso
Belitang II;Ogan Komering Ulu Timur
Arimop;Boven Digoel
Bone;Bone Bolango
Bangodua;Indramayu
Aweida;Paniai
Bone (Bone Tondo);Muna
Bergas;Semarang
Belitang III;Ogan Komering Ulu Timur
Bangorejo;Banyuwangi
Bone Bone;Luwu Utara
Ampel;Boyolali
Aweku;Tolikara
Banawa Tengah;Donggala
Air Rami;Muko Muko
Beringin;Deli Serdang
Air Salek;Banyuasin
Bulak;Surabaya
Air Sugihan;Ogan Komering Ilir
Awina;Lanny Jaya
Bulakamba;Brebes
Air Upas;Ketapang
Airgaram;Tolikara
Airgegas (Air Gegas);Bangka Selatan
Bermani Ilir;Kepahiang
Bulang;Batam
Bantan;Bengkalis
Ampelgading;Pemalang
Airmadidi;Minahasa Utara
Belitang Jaya;Ogan Komering Ulu Timur
Bancak;Semarang
Bone Raya;Bone Bolango
Bancar;Tuban
Bermani Ulu;Rejang Lebong
Bangsal;Mojokerto
Banda;Maluku Tengah
Bantaran;Probolinggo
Belitang Madang Raya;Ogan Komering Ulu Timur
Airpura;Pesisir Selatan
Bonegunu;Buton Utara
Bermani Ulu Raya;Rejang Lebong
Airu;Jayapura
Awinbon;Pegunungan Bintang
Bantarbolang;Pemalang
Arjasa;Jember
Ampelgading;Malang
Bangsalsari;Jember
Bulango Selatan;Bone Bolango
Bonehau;Mamuju
Beruntung Baru;Banjar
Belitang Mulya;Ogan Komering Ulu Timur
Bonepantai;Bone Bolango
Bongan;Kutai Barat
Belo;Bima
Arjasa;Situbondo
Bongas;Indramayu
Ampenan;Mataram
Belopa;Luwu
Bonggakaradeng;Tana Toraja
Bangsri;Jepara
Ampibabo;Parigi Moutong
Aitinyo;Maybrat
Arjasa;Sumenep
Banda Alam;Aceh Timur
Bonggo;Sarmi
Aitinyo Barat;Maybrat
Belopa Utara;Luwu
Arjasari;Bandung
Aitinyo Raya;Maybrat
Bonggo Timur;Sarmi
Amuma;Yahukimo
Bongomeme;Gorontalo
Arjawinangun;Cirebon
Aitinyo Tengah;Maybrat
Bonjol;Pasaman
Banda Baro;Aceh Utara
Bangun Purba;Deli Serdang
Aitinyo Utara;Maybrat
Bonorowo;Kebumen
Bontang Barat;Bontang
Benai;Kuantan Singingi
Amungkalpia;Puncak
Bangun Purba;Rokan Hulu
Bontang Selatan;Bontang
Ajangale;Bone
Arjosari;Pacitan
Amuntai Selatan;Hulu Sungai Utara
Bontang Utara;Bontang
Banda Mulia;Aceh Tamiang
Benakat;Muara Enim
Bulango Timur;Bone Bolango
Amuntai Tengah;Hulu Sungai Utara
Bantargadung;Sukabumi
Ajibarang;Banyumas
Besitang;Langkat
Banda Raya;Banda Aceh
Bangun Rejo;Lampung Tengah
Bulango Ulu;Bone Bolango
Amuntai Utara;Hulu Sungai Utara
Bonti;Sanggau
Bantargebang (Bantar Gebang);Bekasi
Arma Jaya;Bengkulu Utara
Banguntapan;Bantul
Ajibata;Toba
Batujajar;Bandung Barat
Bulango Utara;Bone Bolango
Bonto Bahari;Bulukumba
Ajung;Jember
Awyu;Asmat
Aroba;Teluk Bintuni
Bonto Tiro (Bontotiro);Bulukumba
Banjang;Hulu Sungai Utara
Banda Sakti;Lhokseumawe
Batujaya;Karawang
Bontoa (Maros Utara);Maros
Akabiluru;Lima Puluh Kota
Arongan Lambalek;Aceh Barat
Amurang;Minahasa Selatan
Benawa;Yalimo
Batukara;Muna
Bontoala;Makassar
Banjar;Buleleng
Arosbaya;Bangkalan
Bontocani;Bone
Bandar;Pacitan
Akat;Asmat
Batukliang;Lombok Tengah
Benda;Tangerang
Banjar;Pandeglang
Bandar;Bener Meriah
Alafan (Alapan);Simeulue
Bandar;Batang
Arse;Tapanuli Selatan
Bontoharu;Kepulauan Selayar
Bontolempangang;Gowa
Bendahara;Aceh Tamiang
Alak;Kupang
Arso;Keerom
Alalak;Barito Kuala
Bontomanai;Kepulauan Selayar
Bendo;Magetan
Alam Barajo;Jambi
Bontomarannu;Gowa
Batukliang Utara;Lombok Tengah
Banjar;Banjar
Batulappa (Batu Lappa);Pinrang
Bandar;Simalungun
Bontomatene;Kepulauan Selayar
Alama;Nduga
Bendosari;Sukoharjo
Bontonompo;Gowa
Batumarmar;Pamekasan
Banjar Agung;Tulang Bawang
Alama;Mimika
Bontonompo Selatan;Gowa
Batununggal;Bandung
Bendungan;Trenggalek
Bontoramba;Jeneponto
Alang Alang Lebar;Palembang
Banjar Baru;Tulang Bawang
Bontosikuyu;Kepulauan Selayar
Banjar Margo;Tulang Bawang
Borbor;Toba
Amurang Barat;Minahasa Selatan
Alas;Sumbawa
Alas Barat;Sumbawa
Borme;Pegunungan Bintang
Alasa;Nias Utara
Bener;Purworejo
Bandar Baru;Pidie Jaya
Bener Kelipah;Bener Meriah
Batupoaro;Bau Bau
Banjaran;Bandung
Bulawa;Bone Bolango
Bengalon;Kutai Timur
Bandar Dua;Pidie Jaya
Batuputih;Sumenep
Amurang Timur;Minahasa Selatan
Bantarkalong;Tasikmalaya
Banjaran;Majalengka
Ayah;Kebumen
Bengkalis;Bengkalis
Besuk;Probolinggo
Bandar Huluan;Simalungun
Borobudur;Magelang
Batur;Banjarnegara
Banjarangkan;Klungkung
Bantarkawung;Brebes
