kelurahan;pos_code;kecamatan
Amyabenram;98547;Yendidori
Karmon;98552;Yawosi
Sibarambang;27355;X Koto Diatas
Karanganyar (Karangayar);67382;Yosowilangun
Madirai;98552;Yawosi
Karangrejo;67382;Yosowilangun
Syor (Soor \/ Sor);98552;Yawosi
Wasori;98552;Yawosi
Kebonsari;67382;Yosowilangun
Yawosi (Fanindi);98552;Yawosi
Krai;67382;Yosowilangun
Borai;98654;Yawakukat
Kraton;67382;Yosowilangun
Kabuaena;98654;Yawakukat
Gembileme;99037;Yuneri
Munder;67382;Yosowilangun
Kanggilo;99037;Yuneri
Mopi;99037;Yuneri
Omibur;99037;Yuneri
Tenabaga;99037;Yuneri
Umar;99037;Yuneri
Wenome;99037;Yuneri
Wonabunggame;99037;Yuneri
Yido;99037;Yuneri
Yudimba;99037;Yuneri
Dadimulyo;35685;Wonosobo
Yuneri;99037;Yuneri
Pasi Malee;23682;Woyla Barat
Dadirejo;35685;Wonosobo
Binyeri;98547;Yendidori
Sulit Air;27355;X Koto Diatas
Pasi Mali;23682;Woyla Barat
Dadisari;35685;Wonosobo
Jaraksari;56314;Wonosobo
Tanjung Balik;27355;X Koto Diatas
Pasi Panyang;23682;Woyla Barat
Jlamprang;56319;Wonosobo
Aie Angek (Aia\/Air Angek);27151;X Koto (Sepuluh Koto)
Moulo;98937;Yamoneri
Peuleukueng (Peuluekung);23682;Woyla Barat
Kontinuai;98654;Yawakukat
Tunjungrejo;67382;Yosowilangun
Wotgalih;67382;Yosowilangun
Yosowilangun Kidul;67382;Yosowilangun
Yosowilangun Lor;67382;Yosowilangun
Buseryo;99355;Yokari
Rambai;98654;Yawakukat
Sanayoka;98654;Yawakukat
Woniwon;98654;Yawakukat
Endokisi;99355;Yokari
Yafanani;98654;Yawakukat
Akudiomi (Akuidiomi);98852;Yaur
Maruwai (Maruway);99355;Yokari
Sima;98852;Yaur
Meukisi;99355;Yokari
Senamay (Snamay);99355;Yokari
Birubi (Birub);98547;Yendidori
Esahapuk;99720;Yogosem
Ambirik;99064;Yuko
Hokolekma;99720;Yogosem
Inpendi;98547;Yendidori
Wami (Wamijaya);98852;Yaur
Kabidon;98547;Yendidori
Kiroma;99720;Yogosem
Maibaken;98547;Yendidori
Mesahaput;99720;Yogosem
Padwa;98547;Yendidori
Yaur;98852;Yaur
Padwa Pantai;98547;Yendidori
Dimiya;98726;Yatamo
Rarnpimbo;98547;Yendidori
Saikama;99720;Yogosem
Keniapa;98726;Yatamo
Samber;98547;Yendidori
Memiyaibutu;98726;Yatamo
Samber Sup;98547;Yendidori
Udaugi;98726;Yatamo
Suneri;98547;Yendidori
Sogasio;99720;Yogosem
Sunyar;98547;Yendidori
Pasi Pandan;23654;Woyla
Munaiyepa (Muniyepa);98718;Yagai
Ngginigum;98937;Yamoneri
Paya Dua;23654;Woyla
Wotai;98726;Yatamo
Piyapigi;98937;Yamoneri
Yogosem;99720;Yogosem
Ambulu;68252;Wringin
Jogoyitnan;56315;Wonosobo
Dusun Baru Pelokan;38755;XIV Koto
Kalianget;56319;Wonosobo
Kingkang;57473;Wonosari
Kalirejo;35685;Wonosobo
Ekapame;99571;Yiluk
Kalisari;35685;Wonosobo
Alue Bilie;23683;Woyla Timur
Panibagata;98718;Yagai
Simpang Keumaron (Simpang Teumarom);23682;Woyla Barat
Paya Luah;23654;Woyla
